Country Name,Country Code,Country Code,Region,IncomeGroup,Sub-Region,HAZARD & EXPOSURE,VULNERABILITY,LACK OF COPING CAPACITY,EPIDEMIC INFORM RISK,EPIDEMIC RISK CLASS,is_air_dprt_2018,SH_DTH_COMM_ZS_2016,IQ_CPA_ECON_XQ_2018,IQ_CPA_SOCI_XQ_2018,IQ_CPA_PUBS_XQ_2018,SH_STA_DIAB_ZS_2019,SL_AGR_EMPL_FE_ZS_2019,SL_AGR_EMPL_MA_ZS_2019,SL_EMP_VULN_ZS_2019,SL_IND_EMPL_MA_ZS_2019,SL_SRV_EMPL_FE_ZS_2019,SL.SRV.EMPL.MA.ZS_2019,IT.NET.BBND.P2_2018,IT.MLT.MAIN.P2_2018,NY.GDP.MKTP.KD.ZG_2018,NY.GDP.PCAP.CD_2018,NY.GDP.PCAP.KD.ZG_2018,NY.GNP.MKTP.PP.CD_2018,NY.GNS.ICTR.ZS_2018,SH.MED.BEDS.ZS_2015,NY.GNP.PCAP.PP.CD_2018,ST.INT.XPND.MP.ZS_2018,ST.INT.RCPT.XP.ZS_2018,SL.TLF.TOTL.IN_2019,IT.CEL.SETS.P2_2018,SM.POP.NETM_2017,BX.TRF.PWKR.CD.DT_2018,SP.POP.0014.TO.ZS_2018,SP.POP.1564.TO.ZS_2018,SP.POP.65UP.TO.ZS_2018,EN.POP.DNST_2018,EN.URB.LCTY.UR.ZS_2018,EN.POP.SLUM.UR.ZS_2014,SP.POP.TOTL_2018,SI.POV.GAPS_2018,SI.POV.DDAY_2018,IS.RRS.TOTL.KM_2018,SM.POP.REFG_2018,SP.URB.TOTL.IN.ZS_2018,SL.EMP.WORK.FE.ZS_2019,SL.EMP.WORK.MA.ZS_2019,pop_basic_san_tot%_2017,pop_basic_san_urb%_2017,pop_basic_san_rur%_2017,pop_safe_man_san_tot%_2017,pop_safe_man_san_urb%_2017,pop_safe_man_san_rur%_2017,chw_#,gov_health_exp%,pop_bas_hnd_wash_fac%_tot_2017,pop_bas_hnd_wash_fac%_urb_2017,pop_bas_hnd_wash_fac%_rur_2017,hos.beds.per10k.#,med_path_lab_sci#,med_path_lab_tech#,doc_per10k#,doc_#,gen_med_prac#,spec_med_prac#,med_doc#,nur_mid_wife_per10k#,nurse#,skl_health_pro_per10k#,C.1.1,C.1.2,C.1.3,C.2.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,Urban population growth (annual %),Population living in urban areas (%),Proportion of population with basic handwashing facilities on premises (% of population),Population living in slums (% of urban population),Children under 5 (% of population),GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Net ODA received (% of GNI),Volume of remittances (in USD) as a proportion of total GDP (%),"Mortality rate, under-5",Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population","Malaria incidence per 1,000 population at risk",Number of people requiring interventions against neglected tropical diseases,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees and asylum-seekers by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Individuals using the Internet,Mobile cellular subscriptions,People using at least basic sanitation services (% of population),People using at least basic drinking water services (% of population),Physicians Density,Current health expenditure per capita,GDP per capita (current US$),Total Population,"Air transport, passengers carried","International tourism, number of arrivals",IHR capacity score: Points of entry,Access to Cities,Public trust in politicians,1+ underlying conditions plus 0 conditions (65+ yrs),Humanitarian Aid (FTS),Gender Inequality Index
Bahrain,BHR,BHR,Middle East & North Africa,High income: nonOECD,Western Asia,6.4,3.7,2.2,3.7,Medium,57094,6.9,,,,15.6,0.041999999,1.215999961,1.081,41.68000031,91.25800323,57.10400009,11.76230339,17.50509415,1.776728358,24050.75751,-3.110625106,70156170735,24.58253861,,44700,14.79753089,12.73866709,978649,133.3409369,239000,,19.25431012,78.319356,2.426333878,2017.2737,40.29322667,,1569439,,,,263,89.287,96.83100128,97.29599762,100,,,96,,,,10.47,,,,20,,295,9.257,1270,,,1270,24.944,3422,34.07,80,80,100,100,80,100,20,80,100,80,100,80,80,100,60,80,100,80,5.03,89.29,,,6.60,0.05,0.01,0.84,,0.00,0.00,,,7.1,12,0.1,0.06,,2,0.21,,0,0,0,0,319,0,130,7.1,0.18,42,100.0,97.46,98.64,133.3,100.0,100.0,9.26,1866.30,24051,1641164,5877003,11370000,100.0,0.26,4.54,22,0.00,0.21
Bangladesh,BGD,BGD,South Asia,Low income,Southern Asia,5.8,6.6,4.6,5.6,High,101383.4657,25.6,3.666666667,3.4,2.7,9.2,57.49200058,30.52899933,55.24999905,22.73999977,24.72999954,46.73099899,6.343544324,0.8982994,7.863708893,1698.262802,6.737017522,7.38E+11,33.2710398,0.8,4570,1.843568429,0.808262579,70009353,100.2447125,-1847503,15562375119,27.70602248,67.13558688,5.15839064,1239.579312,33.12316361,55.1,161356039,,,,906645,36.632,32.35599899,43.77099991,48,51,47,,,32,55136,5.66,35,51,26,8,26121,,5.809,93741,,,93741,4.124,57211,7.38,80,60,100,80,80,80,80,40,40,60,60,60,80,80,80,60,60,60,3.19,36.63,34.81,49.4,8.84,0.92,0.51,0.61,0.20,17988.28,2354.35,1.06,5.68,30.2,221,0.1,0.02,1.86,56339394,0.54,32.40,11467013,14000,4279567,426000,859216,0,110,14.7,-0.75,26,88.0,73.91,15.00,100.2,48.2,97.0,5.27,90.60,1698,163046173,5984155,,60.0,0.06,2.27,18,17988.28,0.54
Belarus,BLR,BLR,Europe & Central Asia,Upper middle income,Eastern Europe,2.7,2.7,2.8,2.7,Low,31676,2.5,,,,5,7.402999878,14.57699966,3.286999948,41.93399811,73.80500031,43.48899841,33.86912852,47.48760052,3.04990555,6289.938553,3.189813054,1.82E+11,28.79497861,,19240,2.804441616,2.890125523,5036848,122.925228,43648,1375400000,16.86594305,68.28890878,14.84514817,46.7287999,26.89016114,,9483499,0,0,5459,2234,78.595,97.23999786,94.43599701,98,98,96,81,82,76,,13.79,,,,110,,,51.905,48995,,,48995,110.027,98875,154.9,100,80,100,100,100,100,100,100,100,80,80,100,100,100,100,100,100,100,0.45,78.60,,45.2,5.89,0.08,0.03,0.82,,3.24,69.54,0.20,2.31,3.4,37,0.4,0.48,,0,0.12,25.40,50539,50000,0,0,2428,0,133,2.4,-0.30,45,100.0,99.76,79.13,122.9,97.8,96.5,40.77,1151.41,6290,9452409,2760168,11060200,,8.81,,35,3.24,0.12
Belgium,BEL,BEL,Europe & Central Asia,High income: OECD,Western Europe,3.4,4,1.9,3,Low,140674,7.9,,,,4.6,0.600000024,1.274000049,10.18899989,31.61700058,90.98799896,67.10800171,39.21686286,35.75590798,1.458405353,47518.63604,1.041719531,5.91E+11,24.49841441,,51740,4.637028523,2.315017572,5100709,99.69668646,240000,12313700384,17.05542276,64.1558335,18.78874374,377.2149273,18.30942846,,11433256,,,,42168,98.001,89.35900116,83.15599823,99,99,99,97,,,,15.1,,,,62,,,30.709,35069,12992,21630,447,194.614,210507,141.7,60,60,60,100,100,100,80,40,100,80,80,100,60,80,80,100,80,80,0.45,98.00,,,5.51,0.19,0.06,0.92,,-11.66,0.00,,2.27,3.7,10,,,,12,0.05,27.70,0,0,0,0,61718,0,147,2.4,1.17,75,100.0,,88.66,99.7,99.5,100.0,33.23,4667.88,46556,11539326,13639487,8385000,60.0,0.39,4.20,35,-11.66,0.05
Belize,BLZ,BLZ,Latin America & Caribbean,Upper middle income,Central America,3.2,4.4,6,4.4,Medium,125681.6909,19.4,,,,17.1,4.744999886,24.10700035,29.62200046,19.52099991,85.9240036,56.3730011,6.436926836,5.447815157,3.035403657,4884.742421,1.071369529,2992485221,8.466417863,,7810,4.434036579,45.20635651,178253,85.52696498,6000,92512738.78,30.27976537,64.98377585,4.736458777,16.79399386,0,10.8,383071,,,,28,45.724,67.76699829,66.48400116,88,93,83,,,,158,13.81,90,91,90,13,,,11.229,422,,,422,23.414,897,25.83,20,20,20,20,20,20,40,40,40,80,80,40,60,40,60,20,20,0,2.19,45.72,90.08,5.1,10.07,0.03,0.00,0.72,0.02,0.00,5.44,1.97,4.94,13.0,36,1.8,1.57,0.03,6903,0.39,,0,0,0,0,3342,0,120,7.5,-0.59,,98.3,,47.08,85.5,87.9,98.0,11.26,541.43,5025,390351,1297533,427000,20.0,7.24,1.80,21,0.00,0.39
Benin,BEN,BEN,Sub-Saharan Africa,Low income,Western Africa,7.1,5.3,6.6,6.3,High,,54.1,3.833333333,3.5,3.3,1,30.23600006,46.63700104,87.73200321,21.37299919,53.23500061,31.98900032,0.235384383,0.422357981,6.858002271,901.5438712,3.975183596,27628119098,,,2410,,,4833197,82.38429039,-10000,198742396,42.44768239,54.29871231,3.253605297,101.8539198,17.06989539,61.5,11485048,,,,1174,47.312,5.132999897,16.5890007,16,27,8,,,,,9.55,11,17,6,5,668,,0.791,908,346,562,,3.888,3410,7.51,20,40,40,80,80,80,20,60,40,40,0,20,40,20,40,0,0,20,3.89,47.31,11.03,59.6,15.88,0.22,0.02,0.52,0.37,40.10,267.21,5.55,1.92,93.0,58,1.0,0.60,367.91,5909521,0.61,47.80,0,0,0,0,1494,0,127,10.1,-0.57,41,43.1,42.36,20.00,82.4,16.5,66.4,1.57,83.48,902,11801151,,281000,0.0,0.86,2.25,16,40.10,0.61
Bhutan,BTN,BTN,South Asia,Lower middle income,Southern Asia,3.9,3.8,4.6,4.1,Medium,5187,20.9,4.166666667,4,4.1,10.3,63.61999893,49.69499969,71.47900009,11.17500019,26.21199989,39.13000107,1.43188916,2.918259569,3.027640595,3243.231125,1.822273166,6980310102,21.60060871,,9250,6.265309934,15.54119118,379603,93.26155771,1600,58148515.8,25.77135373,68.22563455,6.003011713,19.77752777,0,,754394,,,,0,40.895,15.99199963,36.83499908,69,73,67,,,,578,8.03,,,,17,309,71,4.242,320,210,110,,18.518,1397,18.93,60,40,80,60,80,80,80,60,60,60,40,60,60,80,60,60,60,20,2.97,40.90,79.81,,8.33,0.01,0.00,0.62,0.17,0.00,27.70,4.51,2.38,29.7,134,0.1,,0.02,234506,0.44,37.40,0,0,0,0,0,0,110,14.9,0.36,68,97.7,66.56,48.11,93.3,69.3,97.2,3.72,293.11,3360,763094,275849,255000,40.0,161.80,4.54,19,0.00,0.44
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,Southern Europe,2.6,4.2,5.8,4,Medium,,1.8,,,,9,15.51900005,15.30000019,16.15399957,41.00899887,66.4960022,43.69100189,20.86551291,23.84334785,3.62354616,6065.672708,4.483914305,48467618797,15.17874676,,14580,3.177291106,12.72599303,1306483,104.1256346,-107926,2121660433,14.76621765,68.76346488,16.47031747,64.92048828,21.36259611,,3323929,,,417,5229,48.245,79.25800323,78.70300293,95,99,92,22,11,,,14.11,,,,35,,,21.616,7413,836,5419,1158,57.333,19057,77.61,40,60,80,40,40,40,20,20,20,40,20,20,20,60,20,0,0,40,-0.06,48.25,97.16,7.6,4.17,0.10,0.05,0.77,0.01,133.14,182.84,1.75,10.52,5.8,27,,,,0,0.16,33.00,0,0,759,99000,6239,0,130,2.4,-0.62,36,100.0,96.99,70.12,104.1,95.4,96.1,20.00,1123.43,5951,3300998,,923000,0.0,2.30,1.92,38,133.14,0.16
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,Southern Africa,3.9,3.5,6.2,4.4,Medium,6774,46,,,,5.8,16.19000053,24.65800095,25.91200066,25.6989994,74.28099823,49.64400101,1.776521383,6.321060412,4.453584566,8258.641666,2.183074073,40572833197,37.03867071,,18000,3.681548741,7.836655578,1080713,150.0055899,14999,31587060.33,34.11294602,61.66317964,4.223874346,3.977424876,0,,2254126,,,,2047,69.446,68.80400085,73.86100006,77,89,51,,,,166,8.84,,,,18,,317,5.269,1138,308,,830,54.03,12179,31.11,40,40,40,20,80,60,20,20,20,20,0,40,40,60,20,0,0,20,3.28,69.45,,,11.81,0.04,0.01,0.73,,5.00,68.29,0.46,0.17,36.5,300,21.9,12.83,1.97,241157,0.46,53.30,3250,4225,38000,0,2315,0,99,26.4,0.33,61,62.8,87.70,47.00,150.0,77.3,90.3,3.69,931.30,8259,2303703,253417,,0.0,10.52,3.67,28,5.00,0.46
Brazil,BRA,BRA,Latin America & Caribbean,Upper middle income,South America,3.4,4.8,2.9,3.6,Medium,832683,13.9,,,,10.4,4.098999977,13.01799965,27.90799952,26.68000031,85.42500305,60.30199814,14.91053848,18.28999562,1.11758735,8920.762105,0.328077907,3.32E+12,14.42856924,,15850,8.627144284,2.299832525,106500376,98.84349987,106000,2933489276,21.33407191,69.74309026,8.922837832,25.06171624,11.93929493,22.3,209469333,1.7,4.4,,11327,86.569,73.00499725,63.0530014,88,93,60,49,52,,436590,6.78,,,,22,,43744,21.643,453351,,,453351,101.19,2119620,92.96,100,100,100,100,100,100,100,100,100,20,100,40,20,60,80,60,60,100,1.08,86.57,,16.3,6.91,0.94,0.82,0.76,0.02,587.99,339.59,0.02,0.16,14.4,44,0.6,0.42,5.13,9411158,0.39,53.30,104450,1550,46778,0,164017,0,131,2.4,-0.45,35,100.0,93.23,70.43,98.8,88.3,98.2,21.50,1777.47,8921,211049519,102109977,6589000,60.0,153.75,1.32,23,587.99,0.39
