Country Name,Country Code,Country Code,Region,IncomeGroup,Sub-Region,HAZARD & EXPOSURE,VULNERABILITY,LACK OF COPING CAPACITY,EPIDEMIC INFORM RISK,EPIDEMIC RISK CLASS,is_air_dprt_2018,SH_DTH_COMM_ZS_2016,IQ_CPA_ECON_XQ_2018,IQ_CPA_SOCI_XQ_2018,IQ_CPA_PUBS_XQ_2018,SH_STA_DIAB_ZS_2019,SL_AGR_EMPL_FE_ZS_2019,SL_AGR_EMPL_MA_ZS_2019,SL_EMP_VULN_ZS_2019,SL_IND_EMPL_MA_ZS_2019,SL_SRV_EMPL_FE_ZS_2019,SL.SRV.EMPL.MA.ZS_2019,IT.NET.BBND.P2_2018,IT.MLT.MAIN.P2_2018,NY.GDP.MKTP.KD.ZG_2018,NY.GDP.PCAP.CD_2018,NY.GDP.PCAP.KD.ZG_2018,NY.GNP.MKTP.PP.CD_2018,NY.GNS.ICTR.ZS_2018,SH.MED.BEDS.ZS_2015,NY.GNP.PCAP.PP.CD_2018,ST.INT.XPND.MP.ZS_2018,ST.INT.RCPT.XP.ZS_2018,SL.TLF.TOTL.IN_2019,IT.CEL.SETS.P2_2018,SM.POP.NETM_2017,BX.TRF.PWKR.CD.DT_2018,SP.POP.0014.TO.ZS_2018,SP.POP.1564.TO.ZS_2018,SP.POP.65UP.TO.ZS_2018,EN.POP.DNST_2018,EN.URB.LCTY.UR.ZS_2018,EN.POP.SLUM.UR.ZS_2014,SP.POP.TOTL_2018,SI.POV.GAPS_2018,SI.POV.DDAY_2018,IS.RRS.TOTL.KM_2018,SM.POP.REFG_2018,SP.URB.TOTL.IN.ZS_2018,SL.EMP.WORK.FE.ZS_2019,SL.EMP.WORK.MA.ZS_2019,pop_basic_san_tot%_2017,pop_basic_san_urb%_2017,pop_basic_san_rur%_2017,pop_safe_man_san_tot%_2017,pop_safe_man_san_urb%_2017,pop_safe_man_san_rur%_2017,chw_#,gov_health_exp%,pop_bas_hnd_wash_fac%_tot_2017,pop_bas_hnd_wash_fac%_urb_2017,pop_bas_hnd_wash_fac%_rur_2017,hos.beds.per10k.#,med_path_lab_sci#,med_path_lab_tech#,doc_per10k#,doc_#,gen_med_prac#,spec_med_prac#,med_doc#,nur_mid_wife_per10k#,nurse#,skl_health_pro_per10k#,C.1.1,C.1.2,C.1.3,C.2.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,Urban population growth (annual %),Population living in urban areas (%),Proportion of population with basic handwashing facilities on premises (% of population),Population living in slums (% of urban population),Children under 5 (% of population),GCRI Violent Conflict probability,GCRI Highly Violent Conflict probability,Human Development Index,Multidimensional Poverty Index,Humanitarian Aid (FTS),Development Aid (ODA),Net ODA received (% of GNI),Volume of remittances (in USD) as a proportion of total GDP (%),"Mortality rate, under-5",Incidence of Tuberculosis,Estimated number of people living with HIV - Adult (>15) rate,"Number of new HIV infections per 1,000 uninfected population","Malaria incidence per 1,000 population at risk",Number of people requiring interventions against neglected tropical diseases,Gender Inequality Index,Income Gini coefficient,People affected by Natural Disasters,People affected by Natural Disasters,People affected by Natural Disasters,Internally displaced persons (IDPs),Refugees and asylum-seekers by country of asylum,Returned Refugees,Average Dietary Energy Supply Adequacy,Prevalence of Undernourishment,Government Effectiveness,Corruption Perception Index,Access to electricity,Adult literacy rate,Individuals using the Internet,Mobile cellular subscriptions,People using at least basic sanitation services (% of population),People using at least basic drinking water services (% of population),Physicians Density,Current health expenditure per capita,GDP per capita (current US$),Total Population,"Air transport, passengers carried","International tourism, number of arrivals",IHR capacity score: Points of entry,Access to Cities,Public trust in politicians,1+ underlying conditions plus 0 conditions (65+ yrs),Humanitarian Aid (FTS),Gender Inequality Index
Bulgaria,BGR,BGR,Europe & Central Asia,Upper middle income,Eastern Europe,2.7,3.8,3.3,3.2,Low,11435,2.2,,,,6,4.100999832,8.373000145,7.793999791,36.9640007,73.65299988,54.6629982,27.0001679,15.88846119,3.081157234,9272.629304,3.840315458,1.57E+11,27.69784107,,22300,5.414947134,11.67296996,3292122,118.9396801,-24001,2395410000,14.59546532,64.38262025,21.02191443,64.70353721,24.1504015,,7025037,,,4030,19918,75.008,91.53099823,85.84400177,86,87,84,64,73,,,10.95,,,,68,,,40.332,29038,4517,24521,,48.156,31397,93.18,100,60,40,100,100,60,40,60,40,40,80,80,80,60,40,60,40,40,-0.28,75.01,,,4.49,0.03,0.01,0.82,,0.00,0.00,,3.68,7.1,24,0.1,0.06,,218,0.22,37.40,0,600,0,0,21494,0,115,3.6,0.27,43,100.0,98.35,64.78,118.9,86.0,99.1,39.88,1577.94,9273,7000117,1022645,8883000,40.0,7.70,2.63,40,0.00,0.22
Burkina Faso,BFA,BFA,Sub-Saharan Africa,Low income,Western Africa,7.7,6.1,6.9,6.9,Very High,4270,56.3,3.666666667,3.7,3.4,7.3,17.1420002,31.375,86.41899872,33.69599915,49.14899826,34.9280014,0.069959364,0.388629381,6.832388103,715.122904,3.812912022,38940578794,,,1970,,,7468061,97.91227142,-125000,455650092.2,44.94808132,52.64493785,2.406980829,72.19128289,43.65461583,65.8,19751535,,,518,25122,29.358,9.711999893,15.33100033,19,39,11,,,,2749,11.16,12,23,8,4,699,,0.847,1626,888,738,,8.829,10376,6.78,100,60,40,20,60,80,60,80,20,60,20,40,20,60,40,40,20,20,4.98,29.36,11.88,58.5,16.77,0.95,0.68,0.43,0.52,2325.90,437.65,7.92,3.23,76.4,49,0.8,0.39,411.99,6531262,0.61,35.30,9911,0,0,779741,25898,0,124,20.0,-0.58,40,25.5,41.22,16.00,97.9,19.4,47.9,0.60,115.60,731,20321383,151531,143000,0.0,7.88,2.55,14,2325.90,0.61
Burundi,BDI,BDI,Sub-Saharan Africa,Low income,Eastern Africa,7,6.3,7.3,6.9,Very High,,55.8,2.666666667,3.5,2.3,5.1,95.98600006,87.71600342,94.58099747,2.635999918,3.625999928,9.647999763,0.03521135,0.222005993,1.609933082,271.7520444,-1.557407354,8330508692,4.323060933,,750,2.540609759,1.367914796,4983536,56.53470747,10003,48328631.78,45.50168075,52.25137879,2.24694046,435.178271,61.72640975,57.9,11175378,,,,71507,13.032,3.138999939,7.744999886,46,42,46,,,,548,13.19,6,20,4,8,1073,,1.001,1084,889,195,,8.526,9071,,20,40,40,60,60,80,60,60,40,20,0,40,40,40,40,40,40,40,5.70,13.03,6.14,48.6,17.51,0.79,0.49,0.42,0.40,1842.91,216.90,14.79,1.59,58.5,114,1.1,0.47,194.50,5340398,0.52,38.60,810,27532,13715,23378,91800,45536,94,36.8,-1.42,19,9.3,68.38,2.66,56.5,45.8,60.8,0.50,50.25,275,11530577,,299000,0.0,0.03,3.33,14,1842.91,0.52
Cabo Verde,CPV,CPV,Sub-Saharan Africa,Lower middle income,Western Africa,4.7,3.7,4.6,4.3,Medium,1546,19.5,3.333333333,3.9,4,2.4,6.275000095,15.61200047,35.16800022,30.73500061,82.65399933,53.65299988,2.879358255,11.52699594,5.077550829,3635.40685,3.865935847,3957666044,34.69744769,,7280,7.221064687,53.58422554,238193,112.2407207,-6709,233492411.4,28.77776695,66.6129059,4.609327157,134.9297767,0,,543767,,,,0,65.732,51.73500061,68.64099884,74,80,62,,,,,11.73,,,,21,,,7.814,410,,,410,12.983,706,20.44,60,60,60,40,100,60,60,40,40,40,40,40,40,80,40,40,40,40,1.88,65.73,,,9.56,0.00,0.00,0.65,,0.00,56.02,4.31,11.81,19.5,134,0.8,0.38,2.98,145562,0.37,47.20,0,0,0,0,0,0,113,12.6,0.32,58,92.9,86.79,57.16,112.2,73.9,87.1,7.69,347.64,3654,549936,140429,668000,40.0,23.33,3.62,20,0.00,0.37
Cambodia,KHM,KHM,East Asia & Pacific,Low income,South-Eastern Asia,4.9,4.9,5.8,5.2,High,14387,25.6,4.166666667,3.4,2.6,6.4,34.40399933,30.32699966,50.27900171,30.51300049,38.2120018,39.15999985,1.022782322,0.54251156,7.497963508,1510.324871,5.90774125,66085615275,24.72009909,0.8,4070,4.938031213,26.24099505,9350757,119.4915172,-149999,1433190687,31.20141476,64.22990522,4.568680018,92.05641287,51.37027914,55.1,16249798,,,,61,23.388,41.54499817,57.21099854,59,96,48,,,,1638,6.13,66,88,60,8,554,,1.927,2944,,376,2568,6.855,11140,10.94,40,80,20,60,60,80,80,20,20,60,20,20,40,40,60,60,40,60,3.25,23.39,66.23,47.7,10.80,0.28,0.05,0.58,0.17,87.16,546.01,3.36,5.84,28.0,326,0.6,0.10,18.40,5298995,0.47,,0,5817,870000,0,0,0,109,16.4,-0.57,20,89.1,80.53,40.00,119.5,59.2,78.5,1.68,228.57,1512,16486542,1411059,5602000,60.0,47.65,2.92,20,87.16,0.47
Cameroon,CMR,CMR,Sub-Saharan Africa,Lower middle income,Middle Africa,7,6,6.1,6.4,High,5550,53.9,3.666666667,3.2,3,6,47.94499969,39.47399902,73.56200123,18.21199989,40.81299973,42.31499863,0.071330939,3.578059354,4.062405319,1533.74214,1.379191982,93424876351,17.46716347,,3700,10.86353934,8.669965926,11346288,73.19019901,-24000,333558920.3,42.63157984,54.6395428,2.728877355,53.34398891,25.71616516,37.8,25216237,,,1004,380329,56.374,14.24499989,31.34199905,39,56,18,,,,367,4.26,9,15,3,13,,1793,0.881,1842,1420,422,,0.058,0,6.03,20,40,20,60,80,60,60,60,40,40,20,40,40,20,20,40,20,20,3.68,56.37,2.73,21.7,15.68,0.97,0.40,0.56,0.24,4026.21,648.67,3.08,0.86,76.1,194,3.8,2.07,303.80,16222133,0.57,46.60,12890,942,0,668000,418004,0,123,9.9,-0.80,25,61.4,77.07,23.20,73.2,39.1,60.4,0.90,169.29,1527,25876387,265136,,20.0,1.48,2.92,15,4026.21,0.57
Canada,CAN,CAN,North America,High income: OECD,Northern America,2.4,4,1.3,2.3,Low,1475062.586,5.6,,,,7.6,0.904999971,1.94599998,10.69100039,29.51199913,90.70200348,68.54100037,38.96365923,37.33557257,1.896974756,46232.98962,0.471065971,1.76E+12,19.72326867,,47590,5.778268056,4.034153847,20466131,89.58002255,1210159,1351563683,15.87025087,66.89774245,17.23200668,4.075308214,20.16051715,,37057765,,,47687.4,114109,81.411,87.92500305,81.82700348,99,99,99,82,82,82,,18.77,,,,27,,,23.105,84063,,,84063,99.438,368664,123.82,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.48,81.41,,0.0,5.29,0.01,0.01,0.92,,-6.89,0.00,,0.08,5.0,6,,,,5,0.08,34.00,62554,7930,19500,0,192915,0,141,2.4,1.72,77,100.0,,91.00,89.6,99.3,99.4,26.10,4718.30,46125,37411038,89380000,20798000,100.0,57.38,4.98,32,-6.89,0.08
Central African Republic,CAF,CAF,Sub-Saharan Africa,Low income,Middle Africa,5.5,8,8.7,7.3,Very High,,63.7,3,2.4,2.4,6,81.31700134,73.95800018,91.37900162,7.69299984,15.99600029,18.34799957,0.013029405,0.046995865,3.789443593,475.7212505,2.224742848,4312284264,,,920,,,1915442,27.41449024,-200000,,44.29432055,52.87990574,2.825773707,7.490412212,44.08589783,93.3,4666377,,,,6655,41.364,3.838000059,10.5170002,25,,,,,,1713,14.17,,,,10,,40,0.721,324,,38,286,2.063,322,2.99,0,0,0,0,40,60,20,0,20,40,0,40,0,20,0,20,20,20,2.45,41.36,16.60,97.5,15.40,0.86,0.26,0.38,0.46,7515.35,280.21,27.48,,116.5,423,4.0,3.01,387.32,3765243,0.68,56.20,5440,119,20000,641000,8284,35182,81,59.6,-1.72,25,30.0,37.40,4.34,27.4,25.3,46.3,0.63,29.91,510,4745179,,,0.0,19.40,,16,7515.35,0.68
Chad,TCD,TCD,Sub-Saharan Africa,Low income,Middle Africa,7.1,7.2,8.2,7.5,Very High,,63.4,2.833333333,2.8,2.6,6,74.88300323,77.95999908,93.02399826,3.375999928,24.53899956,18.66399956,0.002157939,0.058380658,2.641330034,728.3432354,-0.415664166,29914265719,,,1930,,,5995275,45.12373876,10000,,47.12629999,50.39318107,2.480518944,12.29173364,37.06005719,88.2,15477751,,,,451210,23.059,1.088000059,11.48799992,8,30,2,,,,154,8.97,6,18,2,4,111,195,0.434,651,,,651,2.322,3487,3.52,20,20,40,20,40,80,60,40,40,20,20,40,20,20,20,20,20,20,3.90,23.06,5.82,87.0,18.01,0.97,0.84,0.40,0.53,6363.27,308.73,7.91,,119.0,154,1.3,0.67,188.61,6222557,0.70,43.30,1887452,4227,460,169003,446817,6351,98,37.5,-1.53,20,10.9,22.31,6.50,45.1,8.3,38.7,0.48,94.95,730,15946882,,87000,20.0,1.40,2.35,14,6363.27,0.70
Chile,CHL,CHL,Latin America & Caribbean,High income: OECD,South America,3.7,3.6,2.7,3.3,Low,134661,8.1,,,,8.6,4.958000183,11.92599964,22.69400036,30.91600037,85.00299835,57.15800095,17.35624022,16.00281059,4.024652965,15923.35874,2.587676494,4.53E+11,19.50714542,,24190,3.628354964,4.633421786,9558222,134.4373213,558539,66095534.58,19.75390247,68.71629587,11.52980166,25.18944607,40.73396454,,18729160,,,,2033,87.564,74.60700226,71.92700195,100,100,100,77,81,,,15.88,,,,22,29,,25.912,48531,25041,23490,,133.248,236427,11.78,80,60,100,80,100,80,80,60,60,80,80,40,60,100,60,100,40,80,1.48,87.56,,9.0,6.24,0.15,0.04,0.85,,18.51,0.00,0.03,0.02,7.2,17,0.5,0.62,,15,0.29,46.60,14989,0,1392,0,14045,0,126,2.7,1.08,67,100.0,96.40,82.33,134.4,100.0,99.8,10.80,2002.01,15923,18952035,19517185,6450000,40.0,8.08,3.04,27,18.51,0.29
China,CHN,CHN,East Asia & Pacific,Upper middle income,Eastern Asia,4.5,4.5,2.2,3.5,Medium,4692008,3.8,,,,9.2,22.63500023,27.50499916,45.37799931,30.4810009,52.06900024,42.01399994,28.53518942,13.4546491,6.56697386,9770.847088,6.082241155,2.53E+13,46.25249164,,18170,10.88443512,1.523419605,780839528,115.5258122,-1741996,24305605211,17.87700275,71.20211371,10.92088354,148.3488333,3.105277906,25.2,1392730000,,,67515,321756,59.152,50.4090004,55.48500061,85,91,76,72,84,56,1126443,10.43,,,,42,,230572,19.798,2828999,,,2828999,26.621,3804021,59.67,100,100,80,100,100,100,100,100,80,80,80,80,100,100,80,100,100,80,2.49,59.15,,25.2,5.93,0.84,0.67,0.76,0.02,0.28,-380.92,-0.01,0.18,8.6,63,0.1,,0.00,26376326,0.16,38.60,14890393,8338124,5343783,0,322359,0,132,8.5,0.48,41,100.0,96.84,54.30,115.5,84.8,92.8,17.86,761.49,9771,1433783692,611439830,60740000,100.0,42.61,4.47,29,0.28,0.16
Colombia,COL,COL,Latin America & Caribbean,Upper middle income,South America,4.1,5.9,3.6,4.4,Medium,358847,10.1,,,,7.4,7.732999802,22.91699982,47.05699992,23.73699951,77.55000305,53.34500122,13.44825224,14.04233958,2.569220988,6667.7907,1.024714856,7.19E+11,15.06132281,,14480,8.939812879,12.25089981,26788369,129.9086097,1023981,6364341387,23.07789598,68.444057,8.47804702,44.74870212,26.36666827,13.1,49648685,1.7,4.1,,310,80.778,51.17499924,47.11299896,90,93,76,17,16,,,18.14,65,73,35,15,,,21.848,108499,,,108499,13.309,66095,29.01,100,60,80,60,80,80,40,60,40,80,80,80,80,40,40,100,100,60,1.93,80.78,65.39,28.1,7.41,0.76,0.30,0.76,0.02,4661.03,1636.96,0.55,1.92,14.2,33,0.4,,7.40,3391009,0.41,49.70,76725,60000,119536,5761000,3190,23897,132,4.8,-0.09,37,99.6,95.09,64.13,129.9,89.6,97.3,20.84,829.80,6651,50339443,33704037,4113000,80.0,446.50,1.73,23,4661.03,0.41
Comoros,COM,COM,Sub-Saharan Africa,Low income,Eastern Africa,6.4,5.3,7.6,6.4,High,,47.4,2.833333333,2.8,2.6,12.3,55.69800186,46.52500153,63.70999908,15.36900043,34.50400162,38.10599899,0.183943234,1.239904748,3.430764136,1415.263622,1.140509904,2438908249,12.80503675,,2930,12.83693475,50.43511597,223763,59.94110452,-10000,162631155.3,39.53842383,57.45456686,3.007009306,447.2444775,0,69.6,832322,,,,0,28.965,17.82999992,41.07600021,36,45,32,,,,,8.66,,,,22,,86,2.715,216,216,,,6.285,0,,20,60,0,20,20,60,20,20,60,40,0,0,0,0,40,20,0,20,2.87,28.97,15.57,69.6,14.40,0.04,0.01,0.54,0.18,49.37,25.62,7.31,13.81,67.5,35,0.1,0.02,3.97,828148,,45.30,0,0,345311,0,0,0,105,30.9,-1.64,25,79.9,58.82,8.48,59.9,35.9,80.2,1.70,115.85,1445,850891,,28000,0.0,2.56,,15,49.37,
"Congo, Rep.",COG,COG,Sub-Saharan Africa,Lower middle income,Middle Africa,5.9,5.5,6.5,6,High,8439,55.5,2.666666667,2.8,2.5,6,33.58300018,34.64799881,75.97800112,22.5529995,45.29499817,42.79800034,0.010555257,0.332635777,1.025554207,2147.769461,-1.549244028,26541515900,,,5060,,,2184140,95.34053637,-20000,,41.76350246,55.554778,2.681719539,15.35684627,63.53636234,46.9,5244363,,,,37494,66.916,8.772000313,36.39199829,20,27,6,,,,,8.71,48,56,32,16,280,54,1.645,723,,200,523,6.271,3289,10.48,20,60,20,40,20,60,40,60,20,20,20,20,20,20,40,20,20,20,3.27,66.92,47.96,48.0,15.11,0.25,0.05,0.61,0.11,426.42,71.60,1.43,0.09,50.1,376,3.1,2.50,197.64,1784187,0.58,48.90,0,0,196246,107000,53605,2,91,40.3,-1.22,19,66.2,80.30,8.65,95.3,20.2,73.2,1.16,263.29,2148,5380504,333899,206000,40.0,41.32,,17,426.42,0.58
Costa Rica,CRI,CRI,Latin America & Caribbean,Upper middle income,Central America,3.9,3.9,2.8,3.5,Medium,39730,6.4,,,,9.1,4.221000195,16.88400078,21.05600035,25.11000061,84.8710022,58.00600052,16.69754679,15.48779154,2.633984968,12027.36588,1.618061785,83474844127,14.74229206,1.2,16700,5.909417906,19.39734749,2474024,169.9306983,21000,533509663.1,21.32474411,69.12540822,9.549847673,97.91306306,34.22982053,5.5,4999441,0.5,1.4,,4547,79.34,77.05599976,73.54399872,98,98,96,,,,1357,23.34,,,,12,9,,28.939,14468,8542,5926,,34.144,17070,19.45,100,80,100,100,100,60,80,80,40,80,80,80,60,80,80,60,60,80,1.98,79.34,83.84,3.9,6.96,0.01,0.00,0.79,,111.96,54.89,0.17,0.89,8.8,10,0.4,0.40,0.01,7794,0.29,48.30,11500,125190,4852,0,37165,0,119,4.8,0.38,56,99.6,97.86,74.09,169.9,97.8,99.7,11.50,1248.55,12027,5047561,1948546,2960000,60.0,11.83,3.20,26,111.96,0.29
Cote d'Ivoire,CIV,CIV,Sub-Saharan Africa,Lower middle income,Western Africa,6.6,5.7,6.2,6.2,High,15188,52.4,3.666666667,3.4,3.3,2.4,31.05900002,46.4469986,71.18599892,14.9829998,58.32500076,38.56999969,0.701728773,1.206251648,7.433071625,1715.531332,4.725692099,1.01E+11,,,4020,,,8536685,134.8579514,-40000,325292800,41.93697214,55.20408485,2.858943015,78.83405346,38.6552483,56,25069229,,,,1810,50.779,17.34300041,34.30199814,32,46,18,,,,,7.35,19,28,10,4,2380,1600,2.314,5240,,,5240,6.048,15163,6.22,20,60,20,20,100,40,20,80,20,60,20,40,20,20,20,40,20,100,3.45,50.78,19.35,59.2,15.75,0.89,0.34,0.52,0.24,26.34,508.67,2.32,0.76,80.9,148,2.7,1.93,138.86,20479536,0.66,41.50,846,25000,0,302000,2027,2839,123,19.0,-0.57,35,65.6,47.17,46.82,134.9,32.1,72.9,2.33,162.64,1716,25716554,779482,1800000,40.0,1.37,3.57,16,26.34,0.66
Croatia,HRV,HRV,Europe & Central Asia,High income: nonOECD,Southern Europe,2.4,4.2,3,3.1,Low,27189,2.3,,,,5.4,4.696000099,7.02699995,7.271000266,37.98500061,80.30400085,54.98899841,27.12899729,32.61621521,2.630785623,14909.69319,3.512460717,1.11E+11,24.20712845,5.6,27180,5.646413932,38.5868736,1780110,105.5834549,-40004,2884256726,14.51194001,65.04262698,20.44543301,73.077198,29.43961051,,4087843,,,2605,787,56.947,90.1289978,86.21900177,97,98,95,58,64,,,13.99,,,,56,,,29.996,12624,,,12624,81.224,34184,96.38,100,60,80,100,100,100,80,80,60,60,40,60,60,100,80,80,80,80,-0.36,56.95,,,4.53,0.05,0.02,0.84,,0.00,0.00,,4.73,4.7,10,0.1,,,15,0.12,31.10,3580,471,65,0,1007,9,125,2.4,0.46,47,100.0,99.13,75.29,105.6,96.5,99.6,29.96,1705.21,14869,4130299,2093577,15593000,80.0,2.65,1.98,39,0.00,0.12
Cuba,CUB,CUB,Latin America & Caribbean,Upper middle income,Caribbean,3.6,4.5,1.6,3,Low,8733.666,8.4,,,,9.6,7.321000099,23.86800003,23.0979991,21.03700066,82.46299744,55.09500122,0.871730745,12.74001524,2.248480393,8821.818891,2.258589685,0,,,0,,,5098232,47.39153727,-72000,,16.21123899,68.60254959,15.18621142,108.9995962,24.45993565,,11338138,,,,287,77.037,87.29100037,64.57800293,93,92,95,44,42,,,18.01,85,88,76,52,,6015,84.218,95487,,,95487,75.614,85732,154.96,20,80,60,20,100,80,80,80,100,100,100,100,100,100,100,100,100,60,0.07,77.04,85.20,6.6,5.18,0.01,0.04,0.78,,44.61,267.27,3.00,,5.0,7,0.4,0.32,,40866,0.31,,10000000,40540,10111,0,319,0,139,2.4,-0.24,48,100.0,99.75,57.15,47.4,92.8,95.3,81.90,2457.67,8541,11333484,560754,4594000,100.0,1.41,,33,44.61,0.31
Cyprus,CYP,CYP,Europe & Central Asia,High income: nonOECD,Western Asia,2.9,4.8,2.6,3.3,Low,5456,4.1,,,,9,0.953999996,3.010999918,11.06000042,25.02899933,92.83200073,71.95999908,36.27192779,36.05172414,4.060191762,28689.69858,2.745155679,34697802147,21.79290067,,39880,8.618099775,18.92324032,629329,138.900486,25000,497777154.9,16.78784796,69.49309027,13.71906177,128.7083333,0,,1189265,,,,11014,66.81,89.9260025,84.10900116,99,100,98,75,86,,,7.58,,,,34,22,312,19.509,2283,,,2283,52.512,6145,66.14,100,20,80,100,80,60,40,100,80,100,80,40,60,80,60,60,100,100,0.77,66.81,,,5.45,0.02,0.00,0.87,,0.00,0.00,,1.99,2.4,6,0.1,0.10,,4,0.09,34.00,0,0,0,228000,21321,0,106,5.6,0.92,58,100.0,98.68,84.43,138.9,99.2,99.6,19.51,2270.83,28159,1198574,401408,3652000,80.0,4.71,2.79,29,0.00,0.09
Czech Republic,CZE,CZE,Europe & Central Asia,High income: OECD,Eastern Europe,2.8,3.3,2.7,2.9,Low,50694,5.4,,,,7,1.682999969,3.549000025,13.68100014,48.23199844,74.65699768,48.21900177,30.21688169,14.1757715,2.957784473,23078.57349,2.65491944,3.99E+11,26.20954293,6.5,37530,3.44022043,4.312270592,5424875,119.1135078,110057,3913327762,15.58660552,64.99251759,19.42087689,137.6028879,16.47195932,,10629928,,,9406,2186,73.792,87.71499634,79.57299805,99,99,99,94,98,85,,14.91,,,,65,,,41.208,43951,,,43951,83.955,85372,120.93,100,20,40,100,100,100,20,80,40,80,80,80,100,100,40,20,20,80,0.45,73.79,,,5.20,0.01,0.00,0.89,,0.00,0.00,,1.60,3.4,5,0.1,0.06,,1,0.14,25.90,0,0,0,0,4121,0,127,2.4,0.92,56,100.0,,80.69,119.1,99.1,99.9,43.14,2484.63,22973,10689213,5727200,10160000,20.0,1.62,2.58,39,0.00,0.14
Democratic Republic of the Congo,COD,COD,Sub-Saharan Africa,Low income,Middle Africa,7.6,6.5,7.4,7.2,Very High,18612.19624,61.7,3.166666667,3.1,2.5,6,72.65000153,58.56000137,79.67399788,15.70899963,23.86400032,25.73200035,0.005495545,0,5.757932738,561.7771824,2.399910664,75581872085,21.12045046,,900,0.646996732,0.376205306,29741467,43.38221502,119303,1822706176,46.16564209,50.81651729,3.017840622,37.08259236,35.23924133,74.8,84068091,,,3641,529061,44.46,8.722000122,27.46299934,20,23,18,,,,,11.06,4,7,2,8,,2126,0.74,5832,5832,,,11.101,93326,10.53,40,40,0,40,40,60,20,60,40,20,40,40,20,20,20,40,20,20,4.54,44.46,4.47,79.1,17.86,0.98,0.93,0.46,0.39,0.00,1363.76,5.51,3.86,88.1,322,0.7,0.25,307.62,55563633,0.65,42.10,1532,18259,802344,3081000,531258,6628,87,59.6,-1.55,18,19.1,77.04,8.62,43.4,20.5,43.2,0.90,34.49,562,86790568,932043,,0.0,4.70,2.38,15,0.00,0.65
Denmark,DNK,DNK,Europe & Central Asia,High income: OECD,Northern Europe,3.9,3.6,0.9,2.3,Low,,6.5,,,,8.3,0.944000006,3.298000097,4.89500007,27.32699966,90.48600006,69.375,44.05932693,19.6634077,2.391329685,61350.34791,1.817932898,3.27E+11,28.72260869,2.5,56410,5.941477729,4.597754373,3026283,125.118956,75998,1375504605,16.45826256,63.7287848,19.81295264,138.0673017,25.92677362,,5793636,,,,36631,87.874,94.85900116,89.36699677,100,100,100,95,,,,16.77,,,,25,,,40.099,22902,4582,10083,8237,103.195,56991,206.69,100,100,80,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,0.69,87.87,,0.0,5.24,0.00,0.00,0.93,,-82.67,0.00,,0.39,4.2,5,0.2,0.05,,0,0.04,28.20,0,0,0,0,39350,0,129,2.4,1.87,87,100.0,,97.32,125.1,99.6,100.0,44.57,5092.98,60596,5771877,,11743000,100.0,5.95,5.11,37,-82.67,0.04
Djibouti,DJI,DJI,Middle East & North Africa,Lower middle income,Eastern Africa,5,6.3,6.2,5.8,High,,45.2,3,3.1,3,5.1,31.01199913,34.51399994,44.74099922,16.74399948,61.48600006,48.74200058,2.660067597,3.843374286,5.460190759,3082.543099,3.82998552,0,,,0,,,415074,41.19590415,4501,58960000,29.57411596,65.89830466,4.527579378,41.36842105,75.29494422,65.6,958920,,,,18295,77.777,44.76300049,58.25999832,64,76,19,36,41,19,,14.14,,,,14,3,56,2.237,201,,,201,7.288,488,7.86,40,20,20,60,60,60,60,20,20,20,20,40,20,40,20,40,20,40,1.72,77.78,,65.6,10.28,0.17,0.01,0.50,,435.61,67.27,5.80,1.99,59.3,269,1.3,0.88,31.90,110561,,41.60,0,25000,400000,0,28257,0,109,18.9,-0.90,30,60.2,,55.68,41.2,63.6,75.6,2.20,122.08,2050,973557,,,20.0,0.05,,19,435.61,
Dominican Republic,DOM,DOM,Latin America & Caribbean,Upper middle income,Caribbean,4.7,4.3,4.9,4.6,Medium,,15.8,,,,8.6,1.279999971,14.02900028,40.39999998,26.63800049,89.33699799,59.33300018,7.478850615,12.01872639,6.982527584,8050.631602,5.834559566,1.80E+11,23.47957223,,16950,4.053813635,37.44607933,4993882,84.10208352,-150000,6814200000,27.9771295,64.94005302,7.082817476,219.9785759,36.8175557,12.1,10627165,0.1,0.4,,170,81.074,69.51599884,47.5719986,84,86,74,,,,,17.36,55,58,42,16,,,15.268,14983,,,14983,13.802,14668,28.28,60,40,40,20,80,80,60,40,40,60,100,20,20,40,100,60,40,40,2.07,81.07,55.18,14.8,9.37,0.28,0.03,0.74,0.02,24.83,40.81,0.11,7.96,28.8,45,1.0,0.38,0.07,2805557,0.45,45.70,42587,15390,16907,0,503,0,115,9.5,-0.40,28,100.0,93.78,74.82,84.1,83.9,96.7,15.60,936.82,7650,10738957,,6188000,20.0,0.74,1.46,21,24.83,0.45
