"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5540008544922","90.6550025939942","91.2459983825683","91.7130012512207","91.1380004882813","91.3680000305176","91.4629974365234","91.536003112793","91.6120033264161","91.7029991149902","91.810001373291","91.0579986572265","91.0880012512207","91.0930023193359","90.9309997558594","90.8600006103515","90.6539993286133","90.5920028686524","89.4989986419678","88.4650001525879","87.5209980010987","86.3049983978271","85.1609992980957","83.9600009918213","82.6900005340576","81.3110008239746","79.8310012817383","79.7880020141602","79.726001739502",
"Angola","AGO","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.8479990959168","63.4620013236999","62.9679999351502","62.6069993972778","62.3740000724792","62.1289982795715","61.8570017814637","61.5749979019165","61.2849988937378","60.99800157547","60.7170004844665","60.4730010032654","60.1929993629455","59.9409999847412","60.9159984588623","61.9810013771057","63.0840010643005","64.2110013961792","65.3449983596802","66.5170001983642","67.7130002975464","67.4940013885498","67.2720003128052","67.0549983978272","66.8369989395142","66.6159982681274","66.4060010910035","66.1970005035401","65.9950008392334",
"Albania","ALB","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5410022735595","68.1409988403321","67.6699981689453","66.9389991760254","66.1549987792969","65.3609981536866","64.3910007476807","63.8460006713867","63.0249996185303","62.079999923706","61.1699981689453","60.1269989013672","59.1189994812012","58.0820007324219","57.0310001373291","55.9650020599365","54.8810005187988","58.423999786377","56.4730014801025","55.132999420166","59.1940002441406","61.5349979400634","57.7800006866455","56.5029983520508","56.6110000610351","55.6920013427734","54.7480010986328","53.7849998474121","52.851999282837",
"Andorra","AND","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2593816364262","36.3814701854762","36.0805117434609","35.4288236144639","34.7182570359621","34.3386337432852","34.0390276988224","33.5545926104759","33.1727569493867","32.9892517967125","32.2556677039691","32.3839246783512","32.4309853245149","32.7064558055896","31.9439576861614","30.6812194881083","30.7722454043735","29.3250122444305","28.9570817590903","28.0163974111988","27.773806699722","26.8010022915409","27.321351662502","26.8448906906631","26.5975048018241","25.1709797235703","25.5196963492369","25.4790048349609","25.3732192745381",
"United Arab Emirates","ARE","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.47000002861023","1.48500001430511","1.50800001621246","1.51199996471405","1.51699995994568","1.52400004863739","1.52199995517731","1.5460000038147","1.56299996376038","1.55299997329712","1.56700003147125","1.5789999961853","1.57000005245209","1.56200003623962","1.57200002670288","1.40499997138977","1.27500004868489","1.15599997143727","1.01500001153908","0.874999992083758","0.741999988444149","0.632999974302947","0.538000018335879","0.458999987691641","0.392999999225139","0.338999988511205","0.714999996125698","0.952999979257583","0.932000011205673",
"Argentina","ARG","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7860004901886","24.3410000801086","25.378999710083","24.9809998273849","24.1380001306533","24.5250005722046","23.64299929142","23.2789990901947","23.066999912262","22.8190009593963","23.7620000839233","24.5580002069473","22.5359996557236","21.6030000448227","21.2799997329712","20.2580001950264","19.1779992580413","19.1019994020462","19.591000020504","19.0489993691444","18.6189996004105","19.0299995541572","19.6859993338585","20.1779995560646","20.5379993915557","21.1239995360374","21.5060006380082","21.6169991493225","21.8049991130829",
"Armenia","ARM","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1270008087158","49.9080009460449","49.7879981994629","49.5509986877441","49.2859992980957","49.0129985809326","48.765001296997","48.4419994354248","48.1720008850098","47.8279991149902","47.3780002593994","46.7609996795655","46.0419998168945","45.3839988708497","44.5450000762939","43.6730003356933","42.7270011901856","42.0789985656738","42.5949993133545","42.6190004348755","43.7919998168945","42.9690008163452","42.3380002975464","42.7240009307861","41.8900003433228","40.9060015678405","39.1190013885498","38.8979983329773","38.6679987907409",
"American Samoa","ASM","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
