Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland,CHE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789724068,1.950086424,6.304656945,10.78474522,16.75916271,22.59724623,27.48988396,31.5854277,33.53478981,35.53584712,37.31128521,38.93184665,40.11446287,42.39913339,43.09024053,44.60242685,45.05910977,46.31990051,46.42094273,
Channel Islands,CHI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050057511,0.430023937,1.201537144,2.222345323,2.990220838,4.378522005,6.1857333,7.878370461,8.541752228,9.79899191,10.48704014,11.67049717,12.44992413,13.0618791,14.01949855,15.13376135,15.95128317,16.57996326,17.35624022,
China,CHN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001755839,0.02588502,0.252303079,0.852959779,1.884961039,2.806632321,3.799512213,4.93419774,6.122995604,7.638872763,9.22969172,11.36849026,12.6558438,13.5721864,14.32580171,19.69267651,22.81370164,27.73989833,28.53518942,
Cote d'Ivoire,CIV,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002346643,0.004596423,0.006750383,0.053319354,0.052161475,0.051005916,0.049852569,,,0.214259977,0.254809235,0.56013233,0.472342739,0.572478854,0.584450845,0.701728773,
Cameroon,CMR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001139093,0.002310182,0.003416927,0.004466914,0.00454777,0.029270584,0.051242711,0.064444167,0.076549237,0.074204699,0.087761512,0.192146373,0.068244526,0.071330939,
"Congo, Dem. Rep.",COD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.000630616,0.000677806,0.001311569,0.001269211,0.00122852,0.005495545,
"Congo, Rep.",COG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003015397,0.00584969,0.02983041,0.030863383,0.009474855,0.010555257,,,,,
Colombia,COL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022387099,0.034355155,0.085352153,0.155327846,0.30210366,0.747245052,1.453851757,2.759850377,4.004268447,4.72576413,5.84448297,7.332326999,8.548227073,9.759270646,10.70649708,11.62812593,12.27392136,12.94429123,13.44825224,
Comoros,COM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00016744,0.000653993,,0.01278015,0.016736936,0.009803164,0.047702453,0.056611598,0.170334217,0.175319115,0.208456788,0.205807899,0.205381653,0.201992402,0.183943234,
Cabo Verde,CPV,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061977544,0.202361824,0.386640237,0.806845451,1.534807692,2.254500474,3.262127172,4.276175337,3.929458569,4.143054785,3.680699866,3.157355124,2.925937501,2.789405728,2.879358255,
Costa Rica,CRI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21919445,0.357296125,0.661064505,1.048045247,1.91758572,2.156822324,2.463274051,4.040356225,8.656964751,9.060526828,9.568984642,10.22505397,10.76734852,11.52389824,13.04433552,15.031271,16.69754679,
Caribbean small states,CSS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416715323,0.987274319,1.54518001,2.058902962,3.097216383,3.709065175,4.845312778,6.269078177,6.785085655,7.095663185,8.868661727,9.46773697,10.50218291,12.42187297,13.36914381,13.72033906,15.32391925,
Cuba,CUB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017296053,0.019987593,0.025679832,0.033013143,0.039344393,0.04453188,0.047506262,0.068922492,0.072027883,0.127285996,0.295751378,0.871730745,
Curacao,CUW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87778617,22.98326411,23.59784175,24.40507,25.02392913,26.5212478,30.46229251,31.84968541,
Cayman Islands,CYM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.56185452,33.07002639,33.26510446,32.50976191,32.77757047,33.9301208,38.56987904,44.36361869,39.21270917,49.27581963,,
Cyprus,CYP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354358611,0.823735463,1.387882141,2.328785812,4.28172043,8.323525531,12.57251417,18.48111432,21.48992797,23.15491784,24.6112529,25.47407322,26.71270396,28.76162928,30.72497937,32.57873187,34.21499653,36.27192779,
