Country Name,Country Code,SP.URB.TOTL.IN.ZS_2018
Sub-Saharan Africa (excluding high income),SSA,40.17534134
South Sudan,SSD,19.615
Sub-Saharan Africa,SSF,40.17682337
Small states,SST,58.72442407
Sao Tome and Principe,STP,72.803
Suriname,SUR,66.06
Slovak Republic,SVK,53.726
Slovenia,SVN,54.541
Sweden,SWE,87.431
Eswatini,SWZ,23.799
Sint Maarten (Dutch part),SXM,100
Seychelles,SYC,56.691
Syrian Arab Republic,SYR,54.162
Turks and Caicos Islands,TCA,93.098
Chad,TCD,23.059
East Asia & Pacific (IDA & IBRD countries),TEA,55.55509202
Europe & Central Asia (IDA & IBRD countries),TEC,66.28683231
Togo,TGO,41.702
Thailand,THA,49.949
Tajikistan,TJK,27.134
Turkmenistan,TKM,51.593
Latin America & the Caribbean (IDA & IBRD countries),TLA,80.60141232
Timor-Leste,TLS,30.578
Middle East & North Africa (IDA & IBRD countries),TMN,61.414543
Tonga,TON,23.131
South Asia (IDA & IBRD),TSA,33.99236125
Sub-Saharan Africa (IDA & IBRD countries),TSS,40.17682337
Trinidad and Tobago,TTO,53.184
Tunisia,TUN,68.945
Turkey,TUR,75.143
Tuvalu,TUV,62.387
Tanzania,TZA,33.776
Uganda,UGA,23.774
Ukraine,UKR,69.352
Upper middle income,UMC,66.2333683
Uruguay,URY,95.334
United States,USA,82.256
Uzbekistan,UZB,50.478
St. Vincent and the Grenadines,VCT,52.198
"Venezuela, RB",VEN,88.208
British Virgin Islands,VGB,47.723
Virgin Islands (U.S.),VIR,95.721
Vietnam,VNM,35.919
Vanuatu,VUT,25.274
World,WLD,55.27057855
Samoa,WSM,18.243
Kosovo,XKX,
"Yemen, Rep.",YEM,36.642
South Africa,ZAF,66.355
Zambia,ZMB,43.521
Zimbabwe,ZWE,32.209
