Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49953E+11,1.59515E+11,1.67103E+11,1.72014E+11,1.79688E+11,1.87336E+11,1.95119E+11,2.01642E+11,2.11484E+11,2.17144E+11,2.33331E+11,2.35711E+11,2.50522E+11,2.60112E+11,2.75367E+11,2.87477E+11,3.11818E+11,3.26451E+11,3.46681E+11,3.41315E+11,3.54252E+11,3.74289E+11,3.9203E+11,4.07467E+11,4.17609E+11,4.26847E+11,4.52608E+11,4.70299E+11,4.89263E+11,
Azerbaijan,AZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26127154086,21407990975,19245265769,19826191792,21368314075,23755541515,25704568939,27609680132,30985055136,34543437506,38815679099,42623596401,53577578168,73926052852,92409721838,1.09835E+11,1.24887E+11,1.34395E+11,1.33865E+11,1.41313E+11,1.53098E+11,1.63983E+11,1.66803E+11,1.58858E+11,1.65259E+11,1.7E+11,
Burundi,BDI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578482102,3898209132,4015203426,3862261638,3786590938,3559416384,3322469128,3336691492,3547276250,3545237739,3704285880,3747523097,3965859086,3964808949,4237687599,4472569742,4901475653,5220309013,5590015090,5807080218,6202122879,6570554913,7029661746,7531802170,7973808625,7760115014,7799828964,7978021198,8330508692,
Belgium,BEL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8657E+11,1.97161E+11,2.0469E+11,2.09566E+11,2.22659E+11,2.32172E+11,2.3608E+11,2.47478E+11,2.54671E+11,2.66229E+11,2.92208E+11,3.01796E+11,3.18308E+11,3.2673E+11,3.38465E+11,3.52002E+11,3.7687E+11,3.95987E+11,4.15598E+11,4.15227E+11,4.40708E+11,4.52656E+11,4.8062E+11,4.9935E+11,5.14187E+11,5.28391E+11,5.47414E+11,5.77433E+11,5.90958E+11,
Benin,BEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4631566769,5012626745,5170561077,5707377381,5919953546,6419861889,6826419074,7389870050,7829612531,8374200399,9061394081,9747248119,10321979821,10869816378,11675400198,12300533209,13144165510,14273000151,15362653670,15791734901,16263307826,17192949488,18252516153,19921245682,21614299953,22267074395,23485800655,25258969765,27628119098,
Burkina Faso,BFA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4816264240,5427636373,5560740737,5876115761,6070186186,6573571554,7482645045,8063731014,8749511556,9525855641,9832591706,10728695677,11405151618,12520433891,13429954207,15086875196,16571089016,17938865069,19621481230,20345699589,21187593812,22811297843,25190504768,27182928647,28551557605,29876745182,31927380886,34634454190,38940578794,
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90535118241,96976151015,1.04884E+11,1.1275E+11,1.20109E+11,1.28812E+11,1.36516E+11,1.45429E+11,1.54718E+11,1.64602E+11,1.77502E+11,1.90216E+11,2.02493E+11,2.16113E+11,2.34223E+11,2.57564E+11,2.8634E+11,3.17096E+11,3.4683E+11,3.67894E+11,3.93544E+11,4.27014E+11,4.65927E+11,5.00668E+11,5.34157E+11,5.74313E+11,6.1762E+11,6.65864E+11,7.37578E+11,
Bulgaria,BGR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60147256869,55556211844,57681588877,58091828512,60284657801,63112726892,54851349982,45844561962,49744634661,46705741074,50826796086,55432698982,61830966131,65933534135,71228305678,78428266854,83850192577,89548973887,1.0278E+11,1.03337E+11,1.08146E+11,1.11573E+11,1.16829E+11,1.1773E+11,1.25571E+11,1.27919E+11,1.38633E+11,1.50173E+11,1.56636E+11,
Bahrain,BHR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11892182625,13532680416,14275708826,15772940452,15964616468,17533217568,18699531651,18959399777,20320559701,21177066431,23182140961,24003159792,24705502485,27037544581,29728773021,33341991324,36760960824,41173885438,43591861662,41830645451,44761612275,44625083937,52498464395,56081154125,58876053807,60767055567,63571909739,67210054584,70156170735,
"Bahamas, The",BHS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4873920441,4812945107,4889864755,4943968837,5204770204,6556418021,7529523335,6227345810,6561988034,7223373413,7684563693,8005567845,8379139042,8457556518,8775990074,9329019125,9823805271,10229754525,10354802856,9913446535,10116194478,10410677220,11030860499,10970634660,10844131099,11093221914,11234372257,11540750433,11694814996,
