Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,25.47856614,25.41972962,25.28559033,25.28553822,25.27592421,25.2672154,25.18053916,25.87978615,26.46756574,26.97711824,27.53230967,27.70112252,27.37166009,27.13002457,26.62271221,26.46744911,26.3740212,26.25242271,26.12261511,26.01521808,25.87344562,25.63813671,25.51156491,25.49140662,25.50210883,25.4518163,25.33339385,25.24288757,25.12384786,24.99079512,24.91174601,24.88379049,24.85933719,24.89564588,24.91271592,24.8929023,24.84648413,24.48468764,24.14708138,23.79032364,23.42763177,23.03565044,22.89342837,22.74934586,22.62359644,22.46232391,22.26863873,22.45964045,22.3427825,22.21317152,22.19704872,22.21817335,22.19725391,22.18129515,22.21686507,22.26443624,22.28531999,22.27762851,22.29337459,
Austria,AUT,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,35.6646446,35.43184131,35.17232894,34.90393157,34.62970137,34.36350589,34.08119427,33.78619464,33.57024977,33.41381977,33.25630824,33.0476593,32.66673337,32.2994693,32.05889865,31.95900916,31.83095726,31.63579217,31.47913424,31.35130645,31.17053062,30.95606172,31.07651652,31.27079407,31.41900181,31.55109993,31.68053267,31.81114471,31.91838106,31.9277291,31.83935205,31.67728898,31.48807657,31.38751489,31.42629564,31.53877562,31.65906801,31.78676139,31.91786827,32.02298332,32.11496093,32.21697287,32.65629476,33.10447015,33.51607801,33.91163069,34.23293644,34.58000537,35.04873293,35.54165985,36.05135704,36.53393038,36.77602036,36.86792098,36.88944115,36.78694277,36.69961937,36.75422013,36.8497527,
Azerbaijan,AZE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,49.00462262,48.77788402,48.53880011,48.32872361,48.19930685,48.17632594,48.27034984,48.46796146,48.76046914,49.12447757,49.19260384,48.89420553,48.65525851,48.46189567,48.42447081,48.53066776,48.65697725,48.79679694,48.94878677,48.86445489,48.49672168,48.13295217,47.7713621,47.40782222,47.0039269,46.55721598,46.10579139,45.65495798,45.2107118,44.82982564,45.04940499,44.77507885,44.52154962,44.26788618,44.09194987,44.00621531,43.9855824,43.98424076,43.9932394,43.90476584,43.6663625,43.44942135,43.24781522,43.04202727,42.78780156,42.4733521,42.22979242,42.07369514,41.88494325,42.07868437,42.63920372,42.77642258,42.51816835,42.26341202,42.01927048,41.79000443,41.58297705,41.4222785,41.28926287,
Burundi,BDI,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,78.40586444,82.4943228,86.81495912,91.35517613,96.0178759,99.84222019,99.01755495,97.77785972,96.62102448,95.70506001,95.21115377,95.40828493,95.9203216,96.59529238,97.13334416,97.31710308,97.1664035,96.68298025,95.9808558,95.19853953,92.69728636,90.02243378,87.3913086,84.83335626,82.30157365,79.82067481,77.36395746,74.97885143,72.71840311,70.62489483,68.73491909,67.5276157,66.51791038,65.64948016,64.94897935,64.40705447,64.0578839,63.83366496,63.60291537,63.29021933,62.70527488,61.8099854,60.66822323,59.36678977,59.53618252,59.674476,59.80137963,59.91046112,60.01345173,60.12966206,60.25682962,60.41245232,60.60303615,60.80028044,61.00344701,61.19255693,61.36864798,61.54234772,61.72640975,
Belgium,BEL,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,17.54248571,17.55098257,17.54846593,17.48518522,17.38826354,17.29903056,17.25089979,17.22394711,17.22585586,17.24709362,17.30079614,17.33896371,17.3397936,17.35428923,17.36932819,17.38942759,17.42929054,17.46280407,17.50317098,17.54577417,17.58621262,17.63419841,17.66053243,17.68390014,17.70658989,17.72424349,17.74130699,17.74978325,17.7176146,17.67757767,17.64971824,17.60918973,17.56336182,17.52038548,17.49235416,17.48181619,17.57015616,17.65053349,17.73670718,17.8210676,17.90457246,17.97114085,18.01972053,18.07379322,18.12585677,18.15656063,18.16798381,18.1658398,18.1539654,18.13944047,18.10537171,18.00169378,18.02126127,18.06752571,18.11925545,18.14671167,18.18770749,18.25067783,18.30942846,
Benin,BEN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,32.40324032,32.06438552,32.44992425,32.88187751,33.30602615,33.71314995,33.70443496,33.68448406,33.65999168,33.63137063,33.60879162,33.59567161,33.58881113,33.58611274,33.58698853,33.59037027,33.5959891,33.60616724,33.62545075,33.54681242,33.1720191,32.79365394,32.41299448,32.0310269,31.65155551,31.27154,30.89813337,30.5305308,30.15616282,29.75942172,29.33591716,28.88547055,28.35137222,27.72664764,27.1372407,26.59753589,26.10845506,25.65799307,25.23543339,24.82196548,24.40848428,23.99324792,23.3706717,22.42551862,21.5279031,20.67978418,19.87812463,19.11736622,18.39329621,17.70167279,17.0383355,16.40178502,15.79152352,15.20701493,15.25084721,15.68326153,16.1300091,16.59181937,17.06989539,
Burkina Faso,BFA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,26.0493354,26.87608629,27.7389796,28.61905919,29.51483517,30.41600059,31.32217618,32.22637672,33.14919706,34.39956062,35.69850552,37.05026427,38.43804274,39.86714912,41.34019494,42.84372128,43.58448487,43.75420684,43.90544407,44.03960042,44.14474549,44.21777178,44.27167262,44.31285362,44.36598739,44.43503714,44.43870146,44.37499413,44.30848205,44.23394384,44.15228171,44.06819194,43.97887525,43.88264503,43.78393756,43.67992643,43.57026248,43.65890896,43.91894578,44.18330762,44.4551086,44.73318444,45.02186994,45.31990367,45.62287527,45.92526813,46.23568446,46.20273113,45.89890891,45.60109166,45.31805528,45.04812194,44.79629913,44.55556067,44.33426973,44.13221002,43.94977709,43.79139004,43.65461583,
Bangladesh,BGD,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,20.60119416,20.8632475,21.59389095,22.3415838,23.10358685,23.85893594,24.61312877,25.37287636,26.18649137,27.09861285,28.16628161,29.41053999,30.82263722,32.34497336,33.11176677,32.22787167,31.29130002,30.32869977,29.37314407,28.46003306,27.611321,27.23771554,27.74391059,28.26786822,28.80413618,29.34731964,29.90289727,30.47429613,31.07299339,31.707745,32.39184269,32.91669501,33.00055479,33.10719626,33.22570182,33.35149042,33.48141581,33.61932869,33.77181669,33.94708134,34.1528204,34.12163794,33.79362748,33.50519138,33.26744405,33.08169074,32.95047167,32.86714176,32.82106317,32.79114072,32.76771162,32.74745044,32.73813871,32.74612202,32.77288245,32.82540799,32.90138866,33.00059431,33.12316361,
Bulgaria,BGR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,24.25866693,23.58568414,22.97740173,22.42670973,21.91533115,21.461222,21.1104753,20.82229528,20.53445733,20.25246876,20.0099008,19.87903456,19.77443293,19.66840348,19.54305076,19.46287467,19.42572636,19.39642403,19.45251528,19.51108731,19.52410434,19.67258619,19.83206072,20.00396768,20.18322317,20.4138249,20.48110832,20.3346602,20.19712574,20.32096034,20.57637034,20.66740912,20.77700355,20.77181366,20.62761418,20.50695005,20.40134285,20.31610498,20.24337857,20.14962377,20.04321421,20.22547464,20.78804737,21.09139143,21.35451204,21.62138465,21.84090792,22.04253271,22.27928179,22.50653088,22.7407004,22.97484037,23.19743966,23.36980786,23.49830458,23.64417145,23.80665752,23.9771108,24.1504015,
